# Nucl. Phys. B 439 (95) 471,,,,
# Q2 x F2 stat syst,,,,
4.5,0.000178,1.16,0.17,0.16
6,0.000178,1.21,0.15,0.14
6,0.00075,0.94,0.1,0.12
8.5,0.000178,1.19,0.05,0.16
8.5,0.000261,1.2,0.04,0.13
8.5,0.000383,1.11,0.05,0.15
8.5,0.00075,0.76,0.09,0.1
12,0.000261,1.35,0.06,0.13
12,0.000383,1.26,0.05,0.12
12,0.000562,1.19,0.05,0.12
12,0.000825,1.08,0.04,0.11
12,0.00133,0.96,0.05,0.13
12,0.00237,0.85,0.04,0.1
12,0.00421,0.74,0.04,0.1
12,0.0075,0.7,0.04,0.11
12,0.0133,0.58,0.04,0.12
15,0.000383,1.4,0.07,0.12
15,0.000562,1.35,0.06,0.1
15,0.000825,1.17,0.06,0.11
15,0.00133,1.13,0.05,0.1
15,0.00237,0.94,0.04,0.1
15,0.00421,0.78,0.04,0.09
15,0.0075,0.71,0.04,0.07
15,0.0133,0.59,0.04,0.07
20,0.000562,1.52,0.08,0.12
20,0.000825,1.17,0.07,0.08
20,0.00133,1.03,0.05,0.08
20,0.00237,1.03,0.05,0.08
20,0.00421,0.83,0.04,0.08
20,0.0075,0.74,0.04,0.08
20,0.0133,0.64,0.04,0.07
20,0.0237,0.51,0.05,0.08
25,0.000825,1.47,0.09,0.12
25,0.00133,1.23,0.06,0.1
25,0.00237,1.02,0.06,0.1
25,0.00421,0.91,0.06,0.07
25,0.0075,0.73,0.05,0.06
25,0.0133,0.71,0.05,0.07
25,0.0237,0.52,0.05,0.08
35,0.000825,1.71,0.12,0.13
35,0.00133,1.23,0.07,0.11
35,0.00237,1.1,0.07,0.08
35,0.00421,0.97,0.07,0.08
35,0.0075,0.88,0.06,0.09
35,0.0133,0.86,0.06,0.08
35,0.0237,0.57,0.05,0.08
35,0.0421,0.55,0.07,0.08
50,0.00133,1.46,0.1,0.12
50,0.00237,1.08,0.08,0.09
50,0.00421,1,0.07,0.09
50,0.0075,0.65,0.06,0.08
50,0.0133,0.66,0.06,0.08
50,0.0237,0.52,0.05,0.07
50,0.0422,0.4,0.05,0.08
65,0.00237,1.4,0.11,0.11
65,0.00421,1.09,0.09,0.09
65,0.0075,0.95,0.08,0.11
65,0.0133,0.69,0.08,0.07
65,0.0237,0.5,0.06,0.05
65,0.0421,0.48,0.06,0.07
80,0.00237,1.09,0.13,0.13
80,0.00421,1.19,0.14,0.12
80,0.0075,0.7,0.08,0.06
80,0.0133,0.71,0.07,0.08
80,0.0237,0.6,0.07,0.07
80,0.0421,0.47,0.06,0.07
80,0.075,0.45,0.07,0.07
120,0.00237,1.6,0.21,0.15
120,0.00421,0.99,0.14,0.14
120,0.0075,0.83,0.12,0.13
120,0.0133,0.73,0.11,0.11
120,0.0237,0.65,0.09,0.09
120,0.0421,0.34,0.07,0.07
120,0.075,0.48,0.08,0.09
200,0.00421,1.41,0.14,0.11
200,0.0075,0.91,0.1,0.11
200,0.0133,0.72,0.09,0.08
200,0.0237,0.54,0.08,0.06
200,0.0421,0.37,0.07,0.04
400,0.0075,1.16,0.17,0.08
400,0.0133,0.81,0.11,0.08
400,0.0237,0.71,0.1,0.1
400,0.0421,0.78,0.1,0.12
400,0.075,0.42,0.07,0.08
400,0.133,0.31,0.07,0.07
800,0.0133,1.13,0.28,0.07
800,0.0421,0.67,0.14,0.09
800,0.075,0.57,0.13,0.07
800,0.133,0.3,0.09,0.06
1600,0.0421,0.86,0.24,0.1
1600,0.075,0.62,0.19,0.09
1600,0.133,0.37,0.15,0.05
