# Q2,x,F2p,stat,syst
0.75,0.0045,0.2695,0.0099,0.0134
0.75,0.008,0.2647,0.0033,0.0078
0.75,0.0125,0.26,0.006,0.0051
1.25,0.0045,0.3237,0.0053,0.0152
1.25,0.008,0.3088,0.005,0.0102
1.25,0.0125,0.3031,0.0035,0.0066
1.25,0.0175,0.2976,0.0047,0.0045
1.25,0.025,0.3041,0.0056,0.0039
1.25,0.035,0.3061,0.0084,0.0044
1.25,0.05,0.3309,0.0098,0.0071
1.25,0.07,0.314,0.0139,0.0088
1.25,0.09,0.3376,0.021,0.0109
1.75,0.0045,0.3674,0.007,0.0149
1.75,0.008,0.3483,0.0062,0.0127
1.75,0.0125,0.3303,0.005,0.0084
1.75,0.0175,0.3299,0.0045,0.0063
1.75,0.025,0.3247,0.004,0.0042
1.75,0.035,0.3305,0.0059,0.0037
1.75,0.05,0.3314,0.0058,0.0051
1.75,0.07,0.3444,0.0084,0.007
1.75,0.09,0.3394,0.0107,0.0088
1.75,0.11,0.3454,0.0133,0.0105
1.75,0.14,0.3688,0.022,0.0138
2.5,0.0045,0.4281,0.0162,0.0158
2.5,0.008,0.3869,0.005,0.0139
2.5,0.0125,0.3729,0.0051,0.0117
2.5,0.0175,0.3576,0.0047,0.0084
2.5,0.025,0.3501,0.0032,0.0054
2.5,0.035,0.3578,0.004,0.0043
2.5,0.05,0.3448,0.0036,0.004
2.5,0.07,0.3494,0.0049,0.0054
2.5,0.09,0.3635,0.0064,0.0068
2.5,0.11,0.3549,0.0076,0.008
2.5,0.14,0.363,0.0071,0.0101
2.5,0.18,0.3628,0.0109,0.0114
2.5,0.225,0.333,0.0315,0.0101
3.5,0.008,0.4209,0.0082,0.0143
3.5,0.0125,0.3992,0.0059,0.012
3.5,0.0175,0.3808,0.0068,0.0105
3.5,0.035,0.3783,0.0052,0.0059
3.5,0.025,0.3757,0.0048,0.0089
3.5,0.05,0.3695,0.0041,0.0047
3.5,0.07,0.3754,0.0052,0.0046
3.5,0.09,0.3609,0.006,0.0054
3.5,0.11,0.3684,0.0074,0.0062
3.5,0.14,0.3685,0.0063,0.0073
3.5,0.18,0.3343,0.0074,0.0082
3.5,0.225,0.3297,0.0087,0.0082
3.5,0.275,0.3016,0.0147,0.0076
4.5,0.0125,0.4164,0.0064,0.0143
4.5,0.0175,0.4129,0.0076,0.0118
4.5,0.025,0.3912,0.0063,0.0098
4.5,0.035,0.3978,0.0066,0.0091
4.5,0.05,0.3747,0.0056,0.0054
4.5,0.07,0.3704,0.0062,0.0048
4.5,0.09,0.3699,0.0074,0.0047
4.5,0.35,0.2727,0.0116,0.0127
4.5,0.11,0.367,0.0082,0.0053
4.5,0.14,0.354,0.0064,0.0057
4.5,0.18,0.3609,0.0079,0.0071
4.5,0.225,0.3213,0.0078,0.0065
4.5,0.275,0.3036,0.0101,0.006
5.5,0.0125,0.4548,0.0114,0.0178
5.5,0.0175,0.4206,0.0104,0.0138
5.5,0.025,0.4058,0.0067,0.0106
5.5,0.035,0.3947,0.0078,0.0089
5.5,0.05,0.3831,0.0063,0.0071
5.5,0.07,0.3793,0.0082,0.0048
5.5,0.09,0.3712,0.009,0.0049
5.5,0.35,0.2526,0.0093,0.0092
5.5,0.5,0.1558,0.0158,0.0182
5.5,0.11,0.3657,0.01,0.0045
5.5,0.14,0.341,0.0076,0.005
5.5,0.18,0.3277,0.0084,0.0055
5.5,0.225,0.3318,0.009,0.0058
5.5,0.275,0.3032,0.0101,0.0051
7,0.0175,0.4287,0.0073,0.0152
7,0.025,0.4176,0.0062,0.0111
7,0.035,0.413,0.0068,0.0094
7,0.05,0.3926,0.0053,0.0078
7,0.07,0.3915,0.0076,0.0067
7,0.09,0.3908,0.0089,0.0054
7,0.11,0.3627,0.009,0.0051
7,0.14,0.3542,0.007,0.0051
7,0.18,0.3461,0.0078,0.0053
7,0.225,0.3217,0.0078,0.0048
7,0.275,0.3035,0.0086,0.0049
7,0.35,0.269,0.0073,0.0063
7,0.5,0.1654,0.0077,0.0161
9,0.025,0.4458,0.0064,0.0137
9,0.035,0.4164,0.0071,0.0095
9,0.05,0.3974,0.0059,0.0074
9,0.07,0.3962,0.0078,0.0073
9,0.09,0.3688,0.0099,0.0075
9,0.11,0.3757,0.0128,0.0066
9,0.14,0.3775,0.0114,0.006
9,0.18,0.3468,0.0119,0.0056
9,0.225,0.3117,0.0104,0.0049
9,0.275,0.3031,0.0125,0.0047
9,0.35,0.249,0.0088,0.0055
9,0.5,0.1377,0.0063,0.0107
11.5,0.025,0.4835,0.012,0.0173
11.5,0.035,0.4406,0.0063,0.0123
11.5,0.05,0.4254,0.0053,0.0083
11.5,0.07,0.4143,0.0068,0.0069
11.5,0.09,0.3968,0.0079,0.0071
11.5,0.11,0.3679,0.0092,0.0068
11.5,0.14,0.3737,0.0092,0.0068
11.5,0.18,0.3527,0.0111,0.0062
11.5,0.225,0.3485,0.0112,0.0063
11.5,0.275,0.2789,0.0113,0.005
11.5,0.35,0.2354,0.0118,0.0048
11.5,0.5,0.1443,0.0081,0.0085
15,0.035,0.4643,0.011,0.016
15,0.05,0.4314,0.0053,0.0106
15,0.07,0.4095,0.006,0.0072
15,0.09,0.4025,0.0072,0.0072
15,0.11,0.3845,0.0082,0.0072
15,0.14,0.37,0.0067,0.0074
15,0.18,0.3382,0.0081,0.0069
15,0.225,0.3149,0.0081,0.0064
15,0.275,0.2933,0.0111,0.0055
15,0.35,0.2192,0.0081,0.0045
15,0.5,0.1344,0.0101,0.0055
20,0.05,0.464,0.0082,0.0147
20,0.07,0.4274,0.0061,0.0098
20,0.09,0.4007,0.0064,0.0083
20,0.11,0.3891,0.0071,0.0079
20,0.14,0.365,0.0054,0.0078
20,0.18,0.3392,0.0062,0.0073
20,0.225,0.308,0.0059,0.0065
20,0.275,0.2828,0.0066,0.0058
20,0.35,0.2257,0.0058,0.0045
20,0.5,0.1192,0.0059,0.005
27,0.07,0.479,0.014,0.0155
27,0.09,0.408,0.0084,0.0108
27,0.11,0.3764,0.0078,0.0091
27,0.14,0.3746,0.0059,0.009
27,0.18,0.3413,0.0063,0.0081
27,0.225,0.3164,0.0061,0.0072
27,0.275,0.2645,0.0061,0.0056
27,0.35,0.2156,0.0044,0.0046
27,0.5,0.1185,0.0035,0.0051
36,0.11,0.433,0.017,0.0131
36,0.14,0.3642,0.01,0.0103
36,0.18,0.3548,0.0083,0.0096
36,0.225,0.3031,0.0071,0.0076
36,0.275,0.2817,0.0073,0.0064
36,0.35,0.2163,0.0048,0.0054
36,0.5,0.1112,0.0028,0.0049
48,0.18,0.3715,0.0157,0.0114
48,0.225,0.3166,0.0121,0.0089
48,0.275,0.2764,0.0113,0.0068
48,0.35,0.2207,0.0065,0.0061
48,0.5,0.1042,0.0034,0.0049
65,0.275,0.1887,0.0289,0.0055
65,0.35,0.2333,0.0192,0.0074
65,0.5,0.1092,0.0088,0.0057
