0.000063,3.5,0.875,0.052,0.083,0.101
0.00063,12,1.102,0.027,0.02,0.037
0.0001,3.5,0.939,0.04,0.063,0.072
0.001,12,0.903,0.023,0.031,0.029
0.0016,12,0.789,0.023,0.028,0.021
0.0001,4.5,1.03,0.028,0.061,0.053
0.0025,12,0.746,0.021,0.03,0.024
0.00016,4.5,1.038,0.028,0.037,0.034
0.00025,4.5,0.932,0.029,0.031,0.033
0.00025,15,1.559,0.065,0.093,0.105
0.0004,15,1.338,0.035,0.051,0.029
0.0001,6.5,1.221,0.036,0.098,0.076
0.00063,15,1.092,0.027,0.029,0.03
0.00016,6.5,1.138,0.021,0.051,0.034
0.001,15,0.992,0.025,0.035,0.034
0.00025,6.5,1.038,0.018,0.021,0.026
0.0016,15,0.908,0.024,0.021,0.025
0.0004,6.5,0.951,0.019,0.031,0.028
0.0025,15,0.793,0.021,0.037,0.012
0.00063,6.5,0.841,0.018,0.026,0.017
0.0063,15,0.662,0.014,0.02,0.025
0.001,6.5,0.776,0.017,0.036,0.028
0.016,15,0.553,0.007,0.014,0.015
0.0016,6.5,0.753,0.019,0.024,0.03
0.08,15,0.37,0.008,0.061,0.04
0.0025,6.5,0.645,0.012,0.032,0.024
0.004,6.5,0.629,0.009,0.018,0.028
0.0004,18,1.438,0.041,0.059,0.037
0.016,6.5,0.495,0.008,0.037,0.023
0.00063,18,1.166,0.031,0.038,0.037
0.04,6.5,0.403,0.019,0.149,0.073
0.001,18,1.015,0.028,0.037,0.025
0.0016,18,0.932,0.026,0.017,0.028
0.00016,8.5,1.337,0.037,0.06,0.081
0.0025,18,0.879,0.024,0.027,0.017
0.00025,8.5,1.151,0.024,0.037,0.023
0.0063,18,0.629,0.013,0.019,0.021
0.0004,8.5,0.993,0.021,0.028,0.019
0.00063,8.5,0.92,0.019,0.014,0.025
0.0004,22,1.507,0.058,0.101,0.095
0.001,8.5,0.831,0.018,0.031,0.025
0.00063,22,1.324,0.037,0.033,0.051
0.0016,8.5,0.704,0.017,0.023,0.015
0.001,22,1.081,0.028,0.03,0.031
0.0016,22,0.93,0.026,0.039,0.025
0.00016,10,1.359,0.075,0.114,0.078
0.0025,22,0.906,0.025,0.02,0.026
0.00025,10,1.231,0.032,0.043,0.043
0.004,22,0.749,0.022,0.039,0.033
0.0004,10,1.136,0.026,0.03,0.022
0.0063,22,0.701,0.021,0.032,0.02
0.00063,10,0.968,0.022,0.03,0.021
0.01,22,0.601,0.013,0.018,0.03
0.001,10,0.857,0.021,0.024,0.023
0.025,22,0.49,0.007,0.012,0.011
0.0016,10,0.792,0.021,0.021,0.022
0.08,22,0.338,0.009,0.067,0.05
0.0025,10,0.715,0.018,0.034,0.028
0.0063,10,0.593,0.008,0.022,0.021
0.00063,27,1.46,0.041,0.047,0.027
0.016,10,0.517,0.007,0.013,0.009
0.001,27,1.194,0.032,0.03,0.021
0.08,10,0.395,0.01,0.098,0.059
0.0016,27,1.14,0.033,0.03,0.042
0.0025,27,0.928,0.028,0.024,0.021
0.00025,12,1.3,0.042,0.059,0.057
0.004,27,0.765,0.024,0.037,0.018
0.0004,12,1.128,0.031,0.036,0.024
0.0063,27,0.674,0.021,0.021,0.019
0.00063,35,1.565,0.073,0.066,0.046
0.025,90,0.556,0.033,0.039,0.01
0.001,35,1.37,0.044,0.014,0.043
0.04,90,0.526,0.031,0.035,0.03
0.0016,35,1.149,0.038,0.023,0.028
0.08,90,0.453,0.019,0.037,0.01
0.0025,35,1.018,0.032,0.04,0.032
0.2,90,0.255,0.029,0.08,0.03
0.004,35,0.887,0.03,0.034,0.014
0.0063,35,0.749,0.027,0.04,0.013
0.0025,120,1.467,0.093,0.038,0.03
0.01,35,0.681,0.025,0.013,0.036
0.004,120,1.176,0.073,0.03,0.02
0.016,35,0.604,0.017,0.017,0.022
0.0063,120,1.112,0.066,0.031,0.03
0.025,35,0.57,0.012,0.025,0.007
0.01,120,0.836,0.051,0.024,0.01
0.08,35,0.461,0.013,0.054,0.049
0.016,120,0.61,0.043,0.031,0.02
0.025,120,0.653,0.045,0.016,0.02
0.001,45,1.441,0.053,0.074,0.035
0.04,120,0.519,0.036,0.012,0.01
0.0016,45,1.178,0.045,0.036,0.045
0.08,120,0.451,0.022,0.019,0.01
0.0025,45,1.071,0.037,0.016,0.025
0.2,120,0.207,0.022,0.073,0.03
0.004,45,0.894,0.034,0.031,0.022
0.0063,45,0.804,0.031,0.057,0.033
0.0025,150,1.275,0.13,0.051,0.03
0.01,45,0.745,0.029,0.031,0.043
0.004,150,1.013,0.07,0.026,0.02
0.0063,150,0.991,0.063,0.028,0.02
0.001,60,1.553,0.073,0.067,0.066
0.01,150,0.835,0.056,0.024,0.01
0.0016,60,1.339,0.05,0.039,0.02
0.016,150,0.685,0.05,0.02,0.01
0.0025,60,1.1,0.04,0.033,0.03
0.025,150,0.719,0.054,0.036,0.02
0.004,60,1.012,0.039,0.022,0.04
0.04,150,0.522,0.039,0.012,0.01
0.0063,60,0.89,0.035,0.044,0.02
0.08,150,0.42,0.022,0.017,0
0.01,60,0.672,0.028,0.025,0.01
0.2,150,0.288,0.026,0.033,0.04
0.016,60,0.614,0.029,0.053,0.02
0.025,60,0.627,0.02,0.02,0.01
0.004,200,1.035,0.096,0.026,0.02
0.08,60,0.521,0.019,0.046,0.04
0.0063,200,1.041,0.084,0.027,0.02
0.01,200,0.832,0.067,0.023,0.02
0.0016,70,1.318,0.062,0.066,0.04
0.016,200,0.72,0.062,0.021,0.01
0.0025,70,1.228,0.049,0.021,0.07
0.025,200,0.631,0.06,0.032,0.02
0.004,70,0.917,0.039,0.043,0.01
0.04,200,0.541,0.05,0.013,0.01
0.0063,70,0.887,0.04,0.033,0.03
0.08,200,0.41,0.027,0.016,0
0.01,70,0.774,0.035,0.037,0.03
0.2,200,0.271,0.025,0.012,0.01
0.016,70,0.697,0.037,0.036,0.02
0.025,70,0.607,0.021,0.019,0.02
0.004,250,1.353,0.219,0.054,0.04
0.08,70,0.484,0.018,0.029,0.02
0.0063,250,1.176,0.116,0.03,0.02
0.01,250,0.916,0.085,0.026,0.02
0.0016,90,1.363,0.101,0.114,0.05
0.016,250,0.699,0.074,0.02,0.01
0.0025,90,1.275,0.063,0.038,0.04
0.025,250,0.544,0.061,0.016,0.01
0.004,90,1.068,0.054,0.046,0.03
0.04,250,0.583,0.063,0.029,0.02
0.0063,90,0.974,0.049,0.035,0.02
0.08,250,0.435,0.034,0.01,0.01
0.01,90,0.845,0.043,0.033,0.03
0.2,250,0.267,0.027,0.011,0.01
0.0063,350,1.107,0.127,0.044,0.03
0.04,800,0.512,0.115,0.019,0.01
0.01,350,0.814,0.086,0.021,0.01
0.08,800,0.293,0.048,0.011,0
0.016,350,0.661,0.076,0.019,0.01
0.2,800,0.227,0.041,0.008,0.01
0.025,350,0.446,0.055,0.013,0
0.04,350,0.672,0.089,0.034,0.02
0.016,1200,0.645,0.135,0.03,0
0.08,350,0.414,0.037,0.01,0.01
0.025,1200,0.652,0.128,0.023,0
0.2,350,0.262,0.029,0.011,0
0.04,1200,0.586,0.132,0.021,0
0.08,1200,0.321,0.052,0.012,0
0.0063,450,1.722,0.348,0.082,0.06
0.2,1200,0.308,0.057,0.017,0
0.01,450,0.929,0.128,0.033,0.03
0.51,1200,0.056,0.02,0.003,0
0.016,450,0.864,0.125,0.032,0.03
0.025,450,0.688,0.095,0.026,0.02
0.025,1500,0.614,0.105,0.028,0
0.04,450,0.435,0.075,0.017,0.01
0.08,1500,0.605,0.119,0.022,0
0.08,450,0.455,0.048,0.026,0.02
0.2,1500,0.216,0.048,0.012,0
0.2,450,0.348,0.043,0.016,0.01
0.04,2000,0.704,0.169,0.024,0
0.01,650,1.067,0.163,0.051,0.04
0.08,2000,0.362,0.099,0.013,0
0.016,650,0.897,0.142,0.032,0.02
0.2,2000,0.412,0.11,0.015,0
0.025,650,0.728,0.109,0.027,0.02
0.04,650,0.471,0.102,0.018,0.01
0.08,3000,0.238,0.067,0.008,0
0.08,650,0.445,0.056,0.025,0.02
0.2,3000,0.479,0.127,0.017,0
0.2,650,0.344,0.046,0.012,0.01
0.08,5000,0.613,0.209,0.026,0
0.01,800,0.89,0.241,0.042,0.03
0.016,800,0.819,0.169,0.029,0.02
