# Q2,x,F2,stat,syst
# Phys. Rev. D 54 (96) 3006
0.8,0.00693,0.272,0.011,0.009
1.094,0.00693,0.301,0.016,0.012
1.496,0.00693,0.329,0.018,0.013
2.046,0.00693,0.39,0.022,0.014
2.799,0.00693,0.412,0.025,0.013
3.828,0.00693,0.482,0.034,0.022
0.8,0.00893,0.262,0.012,0.014
1.094,0.00893,0.281,0.015,0.01
1.496,0.00893,0.327,0.02,0.01
2.046,0.00893,0.422,0.025,0.011
2.799,0.00893,0.4,0.029,0.02
3.828,0.00893,0.49,0.033,0.017
1.496,0.01225,0.313,0.015,0.017
2.046,0.01225,0.374,0.018,0.01
2.799,0.01225,0.377,0.023,0.008
3.828,0.01225,0.408,0.023,0.011
7.161,0.01225,0.421,0.045,0.016
5.236,0.01225,0.403,0.027,0.015
7.161,0.01225,0.421,0.045,0.016
1.496,0.0173,0.336,0.017,0.011
2.046,0.0173,0.34,0.019,0.01
2.799,0.0173,0.361,0.026,0.018
3.828,0.0173,0.398,0.027,0.009
5.236,0.0173,0.437,0.029,0.007
7.161,0.0173,0.435,0.035,0.014
9.795,0.0173,0.499,0.046,0.022
2.799,0.02449,0.347,0.02,0.014
3.828,0.02449,0.32,0.023,0.006
5.236,0.02449,0.394,0.026,0.007
7.161,0.02449,0.45,0.025,0.014
9.795,0.02449,0.409,0.035,0.014
13.397,0.02449,0.521,0.05,0.031
3.828,0.03459,0.336,0.026,0.02
5.236,0.03459,0.434,0.028,0.02
7.161,0.03459,0.411,0.03,0.009
9.795,0.03459,0.456,0.038,0.011
13.397,0.03459,0.464,0.046,0.011
5.236,0.04898,0.383,0.023,0.008
7.161,0.04898,0.35,0.023,0.007
9.795,0.04898,0.43,0.028,0.015
13.397,0.04898,0.415,0.03,0.009
18.323,0.04898,0.47,0.047,0.015
25.061,0.04898,0.448,0.083,0.028
9.795,0.06918,0.362,0.038,0.006
13.397,0.06918,0.39,0.034,0.012
18.323,0.06918,0.378,0.045,0.015
25.061,0.06918,0.451,0.06,0.012
34.277,0.06918,0.183,0.141,0.012
9.795,0.09795,0.367,0.026,0.017
13.397,0.09795,0.454,0.029,0.01
18.323,0.09795,0.307,0.039,0.012
25.061,0.09795,0.394,0.043,0.017
34.277,0.09795,0.265,0.081,0.01
18.323,0.17298,0.302,0.025,0.011
25.061,0.17298,0.271,0.029,0.008
34.277,0.17298,0.304,0.04,0.009
46.881,0.17298,0.313,0.067,0.02
46.881,0.38726,0.205,0.049,0.008
64.269,0.38726,0.191,0.065,0.022
